Codes,Names,theft_year_minus_3,theft_year_minus_2,theft_year_minus_1,theft_now,theft_2012
E01000061,Barking and Dagenham 006C,31,60,68,81,86
E01000062,Barking and Dagenham 006D,20,23,24,39,35
E01000063,Barking and Dagenham 004A,23,36,31,37,27
E01000064,Barking and Dagenham 006E,45,35,46,56,52
E01000065,Barking and Dagenham 007A,34,25,38,43,36
E01000066,Barking and Dagenham 011A,28,23,28,44,43
E01000067,Barking and Dagenham 011B,35,37,41,46,38
E01000068,Barking and Dagenham 016E,49,33,51,61,46
E01000069,Barking and Dagenham 011C,39,33,38,39,31
E01000070,Barking and Dagenham 011D,49,94,98,78,86
E01000071,Barking and Dagenham 011E,41,40,53,60,57
E01000072,Barking and Dagenham 017E,81,72,75,61,68
E01000073,Barking and Dagenham 012B,21,23,32,19,36
E01000074,Barking and Dagenham 012C,28,23,30,31,28
E01000075,Barking and Dagenham 012D,30,51,64,64,38
E01000076,Barking and Dagenham 012E,25,49,47,39,35
E01000077,Barking and Dagenham 008F,37,40,32,39,26
E01000078,Barking and Dagenham 007B,37,25,36,41,42
E01000079,Barking and Dagenham 009E,29,20,21,30,24
E01000080,Barking and Dagenham 007C,43,38,41,33,40
E01000081,Barking and Dagenham 007D,17,31,24,34,19
E01000082,Barking and Dagenham 007E,33,32,39,49,36
E01000083,Barking and Dagenham 007F,26,27,32,30,33
E01000084,Barking and Dagenham 013D,48,38,48,29,53
E01000085,Barking and Dagenham 013E,28,26,32,51,42
E01000086,Barking and Dagenham 013F,22,22,29,36,39
E01000087,Barking and Dagenham 020B,52,57,43,58,77
E01000088,Barking and Dagenham 020C,37,29,42,47,39
E01000089,Barking and Dagenham 020D,19,18,32,29,27
E01000090,Barking and Dagenham 020E,32,39,33,50,62
E01000091,Barking and Dagenham 022A,44,50,46,26,46
E01000092,Barking and Dagenham 019E,188,191,196,156,179
E01000093,Barking and Dagenham 022B,41,58,58,42,32
E01000094,Barking and Dagenham 022C,30,37,34,35,31
E01000095,Barking and Dagenham 018E,281,295,351,258,250
E01000096,Barking and Dagenham 022D,108,101,109,81,76
E01000097,Barking and Dagenham 005D,24,25,34,33,33
